resource	entitiesCount	entitiesFound	entitiesRatio	entitiesPValue	entitiesFDR	interactorsCount	interactorsFound	interactorsRatio	entitiesAndInteractorsCount	entitiesAndInteractorsFound	reactionsCount	reactionsFound	reactionsRatio	path	entities	glycoPath	ctype
TOTAL	191	2	0.0129764250288742	0.032752723515547	0.0574567631615452	200	0	0.0181090354555852	380	2	22	2	0.00167798032186713	Interferon alpha/beta signaling	IRF4;IRF4	Gangliosides	COAD_READ.
TOTAL	23	1	0.00156260615530946	0.0338191264024262	0.0574567631615452	60	0	0.00390773922988944	82	1	6	1	0.000457630996872855	RHO GTPases activate CIT	MYH11	Gangliosides	COAD_READ.
TOTAL	26	1	0.00176642434948026	0.0381489740288209	0.0574567631615452	38	0	0.00300228745711018	63	1	7	2	0.000533902829684997	RHO GTPases Activate ROCKs	MYH11	Gangliosides	COAD_READ.
TOTAL	26	1	0.00176642434948026	0.0381489740288209	0.0574567631615452	33	0	0.00271635531833778	57	1	7	1	0.000533902829684997	Sema4D induced cell migration and growth-cone collapse	MYH11	Gangliosides	COAD_READ.
TOTAL	27	1	0.0018343637475372	0.0395881360398246	0.0574567631615452	71	0	0.00443194815097217	93	1	15	3	0.00114407749218214	RHO GTPases activate PAKs	MYH11	Gangliosides	COAD_READ.
TOTAL	216	2	0.0146749099802976	0.0409624919363839	0.0574567631615452	143	0	0.016536408692337	347	2	47	1	0.0035847761421707	Interleukin-4 and Interleukin-13 signaling	IRF4;IRF4	Gangliosides	COAD_READ.
TOTAL	31	1	0.00210612133976493	0.0453242560724632	0.0574567631615452	69	0	0.00462256957682043	97	1	17	2	0.00129662115780642	HDMs demethylate histones	KDM5B	Gangliosides	COAD_READ.
TOTAL	32	1	0.00217406073782186	0.0467531680329067	0.0574567631615452	33	0	0.00300228745711018	63	1	13	1	0.000991533826557852	Sema4D in semaphorin signaling	MYH11	Gangliosides	COAD_READ.
TOTAL	33	1	0.0022420001358788	0.0481800383436929	0.0574567631615452	34	0	0.00309759817003431	65	1	4	1	0.00030508733124857	EPHA-mediated growth cone collapse	MYH11	Gangliosides	COAD_READ.
TOTAL	255	2	0.017324546504518	0.0551390966949699	0.0574567631615452	172	0	0.0197769729317575	415	2	16	2	0.00122034932499428	Interferon gamma signaling	IRF4;IRF4	Gangliosides	COAD_READ.
TOTAL	258	2	0.0175283646986888	0.0562935964953343	0.0574567631615452	670	0	0.0421273351124666	884	2	154	4	0.0117458622530699	Signaling by NOTCH	HEYL;HEYL	Gangliosides	COAD_READ.
TOTAL	261	2	0.0177321828928596	0.0574567631615452	0.0574567631615452	830	0	0.0498951582157835	1047	2	132	15	0.0100678819312028	Transcriptional regulation by RUNX1	FOXP3;FOXP3	Gangliosides	COAD_READ.
TOTAL	52	1	0.00353284869896053	0.074906334696242	0.074906334696242	1025	0	0.0505146778497903	1060	1	44	3	0.00335596064373427	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	KDM5B	Gangliosides	COAD_READ.
TOTAL	55	1	0.00373666689313133	0.0790602333461279	0.0790602333461279	94	0	0.00700533739992375	147	1	11	4	0.000838990160933567	Smooth Muscle Contraction	MYH11	Gangliosides	COAD_READ.
TOTAL	20	4	0.00135878796113866	1.27118877879528e-06	0.00013220363299471	94	0	0.00505146778497903	106	4	17	6	0.00129662115780642	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	E2F7;E2F1;E2F1;E2F7	Dolichol Pathway	COAD_READ.
TOTAL	65	5	0.00441606087370066	5.80838552610707e-06	0.000302036047357568	332	0	0.0178707586732749	375	5	42	8	0.00320341697810998	TP53 Regulates Transcription of Cell Cycle Genes	E2F7;E2F1;E2F4;E2F1;E2F7	Dolichol Pathway	COAD_READ.
TOTAL	46	4	0.00312521231061893	3.30114266496873e-05	0.00112238850608937	323	0	0.0166317194052612	349	4	33	15	0.0025169704828007	Transcriptional Regulation by E2F6	E2F1;CBX3;EED;E2F1	Dolichol Pathway	COAD_READ.
TOTAL	20	3	0.00135878796113866	6.94801697715963e-05	0.0018064844140615	70	0	0.00390773922988944	82	3	8	8	0.00061017466249714	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	E2F1;E2F4;E2F1	Dolichol Pathway	COAD_READ.
TOTAL	25	3	0.00169848495142333	0.000133854690932411	0.00267709381864822	103	0	0.00595691955775829	125	3	12	12	0.00091526199374571	Transcription of E2F targets under negative control by DREAM complex	E2F1;E2F4;E2F1	Dolichol Pathway	COAD_READ.
TOTAL	7	2	0.000475575786398533	0.000354736716934423	0.00496631403708192	74	0	0.00381242851696531	80	2	4	4	0.00030508733124857	RUNX1 regulates transcription of genes involved in BCR signaling	CBFB;ELF1	Dolichol Pathway	COAD_READ.
TOTAL	7	2	0.000475575786398533	0.000354736716934423	0.00496631403708192	5	0	0.000571864277544796	12	2	5	5	0.000381359164060712	RUNX1 regulates transcription of genes involved in interleukin signaling	CBFB;ELF1	Dolichol Pathway	COAD_READ.
TOTAL	38	3	0.00258169712616346	0.000453621882356758	0.00589708447063786	284	0	0.014344262295082	301	3	27	24	0.00205933948592785	G0 and Early G1	E2F1;E2F4;E2F1	Dolichol Pathway	COAD_READ.
TOTAL	6	1	0.000407636388341599	0.00406889447179781	0.0243909951081398	3	0	0.000428898208158597	9	1	3	3	0.000228815498436427	p75NTR negatively regulates cell cycle via SC1	PRDM4	 N-glycan branching	COAD_READ.
TOTAL	9	1	0.000611454582512399	0.00609774877703495	0.0243909951081398	0	0	0.000428898208158597	9	1	5	3	0.000381359164060712	Small interfering RNA (siRNA) biogenesis	DICER1	 N-glycan branching	COAD_READ.
TOTAL	31	1	0.00210612133976493	0.0208627217233379	0.0417254434466758	4	0	0.00166793747617232	35	1	8	3	0.00061017466249714	MicroRNA (miRNA) biogenesis	DICER1	 N-glycan branching	COAD_READ.
TOTAL	109	1	0.00740539438820572	0.0716342572319186	0.0767052032997336	422	0	0.0242565764391918	509	1	50	3	0.00381359164060712	p75 NTR receptor-mediated signalling	PRDM4	 N-glycan branching	COAD_READ.
TOTAL	117	1	0.00794890957266119	0.0767052032997336	0.0767052032997336	36	0	0.00710064811284788	149	1	36	6	0.00274578598123713	Gene Silencing by RNA	DICER1	 N-glycan branching	COAD_READ.
TOTAL	27	2	0.0018343637475372	0.000258954996473326	0.00543805492593985	176	0	0.00957872664887533	201	2	22	2	0.00167798032186713	FOXO-mediated transcription of cell cycle genes	KLF4;KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	110	2	0.00747333378626265	0.00412418068779652	0.0412418068779652	494	0	0.0277830728173847	583	2	85	2	0.00648310578903211	FOXO-mediated transcription	KLF4;KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	26	1	0.00176642434948026	0.0227217060600533	0.0813768903508167	18	0	0.00204918032786885	43	1	8	1	0.00061017466249714	Synthesis, secretion, and deacylation of Ghrelin	KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	30	1	0.002038181941708	0.0261747480274974	0.0813768903508167	48	0	0.00347884102173084	73	1	17	9	0.00129662115780642	Signaling by BMP	SMAD1	GalNAc-type O-glycans	COAD_READ.
TOTAL	39	1	0.0026496365242204	0.0339029551546848	0.0813768903508167	59	0	0.00447960350743424	94	1	5	1	0.000381359164060712	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	AUTS2	GalNAc-type O-glycans	COAD_READ.
TOTAL	43	1	0.00292139411644813	0.0373195080785272	0.0813768903508167	246	0	0.0134388105223027	282	1	32	3	0.00244069864998856	RUNX2 regulates bone development	SMAD1	GalNAc-type O-glycans	COAD_READ.
TOTAL	45	1	0.00305727291256199	0.0390235989205157	0.0813768903508167	227	0	0.0127716355318338	268	1	35	2	0.00266951414842499	Transcriptional regulation of pluripotent stem cells	KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	1554	4	0.105577824580474	0.0406884451754084	0.0813768903508167	3712	0	0.229269919939001	4811	4	824	6	0.0628479902372054	Generic Transcription Pathway	SMAD1;AUTS2;KLF4;KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	1693	4	0.115021400910388	0.0533495960530395	0.0912984665544561	3857	0	0.239801753717118	5032	4	885	6	0.0675005720387461	RNA Polymerase II Transcription	SMAD1;AUTS2;KLF4;KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	1851	4	0.125755825803383	0.0702350466480869	0.0912984665544561	4048	0	0.25324056423942	5314	4	996	6	0.0759667454808939	Gene expression (Transcription)	SMAD1;AUTS2;KLF4;KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	108	1	0.00733745499014879	0.0912984665544561	0.0912984665544561	414	0	0.023684712161647	497	1	18	1	0.00137289299061856	Transcriptional regulation of white adipocyte differentiation	KLF4	GalNAc-type O-glycans	COAD_READ.
TOTAL	114	1	0.00774509137849039	0.0961375839608406	0.0961375839608406	756	0	0.0397445672893633	834	1	107	9	0.00816108611089924	Signaling by TGFB family members	SMAD1	GalNAc-type O-glycans	COAD_READ.
TOTAL	4	2	0.000271757592227733	2.03021348340604e-05	0.000345136292179027	0	0	0.000190621425848265	4	2	2	2	0.000152543665624285	RUNX3 regulates RUNX1-mediated transcription	RUNX1	CS-DS extension	COAD_READ.
TOTAL	118	4	0.00801684897071812	3.86049401830402e-05	0.000501864222379522	378	0	0.0223980175371712	470	4	47	9	0.0035847761421707	Transcriptional regulation by RUNX3	RUNX1;LEF1;RUNX1	CS-DS extension	COAD_READ.
TOTAL	7	2	0.000475575786398533	6.19897779402523e-05	0.000619897779402523	36	0	0.00200152497140679	42	2	4	4	0.00030508733124857	RUNX2 regulates chondrocyte maturation	RUNX2	CS-DS extension	COAD_READ.
TOTAL	147	4	0.00998709151436918	9.00896968640819e-05	0.000720717574912655	485	0	0.0289268013724743	607	4	84	81	0.00640683395621997	Transcriptional regulation by RUNX2	RUNX1;RUNX2;RUNX2	CS-DS extension	COAD_READ.
TOTAL	14	2	0.000951151572797065	0.000246236919384857	0.001723658435694	5	0	0.00090545177277926	19	2	7	7	0.000533902829684997	RUNX2 regulates genes involved in cell migration	RUNX2	CS-DS extension	COAD_READ.
TOTAL	83	3	0.00563897003872546	0.000332098620672294	0.00199259172403377	156	0	0.0112466641250477	236	3	32	32	0.00244069864998856	Regulation of RUNX2 expression and activity	RUNX2;RUNX2	CS-DS extension	COAD_READ.
TOTAL	18	2	0.0012229091650248	0.00040542745589911	0.00202713727949555	138	0	0.00710064811284788	149	2	9	1	0.000686446495309282	YAP1- and WWTR1 (TAZ)-stimulated gene expression	RUNX2	CS-DS extension	COAD_READ.
TOTAL	261	4	0.0177321828928596	0.000790761613205682	0.00395380806602841	830	0	0.0498951582157835	1047	4	132	123	0.0100678819312028	Transcriptional regulation by RUNX1	RUNX1;RUNX2;RUNX1	CS-DS extension	COAD_READ.
TOTAL	32	2	0.00217406073782186	0.00126363266006424	0.00505453064025696	137	0	0.00781547845977888	164	2	19	18	0.00144916482343071	Regulation of RUNX1 Expression and Activity	RUNX1;RUNX1	CS-DS extension	COAD_READ.
TOTAL	34	2	0.00230993953393573	0.00142368970511064	0.00569475882044257	210	0	0.0115325962638201	242	2	24	21	0.00183052398749142	RUNX2 regulates osteoblast differentiation	RUNX2	CS-DS extension	COAD_READ.
TOTAL	43	2	0.00292139411644813	0.00225689237523952	0.00902756950095807	246	0	0.0134388105223027	282	2	32	29	0.00244069864998856	RUNX2 regulates bone development	RUNX2	CS-DS extension	COAD_READ.
TOTAL	71	2	0.00482369726204226	0.00598446678288744	0.0179534003486623	333	0	0.01868089973313	392	2	27	4	0.00205933948592785	Transcriptional regulation of granulopoiesis	RUNX1;LEF1	CS-DS extension	COAD_READ.
TOTAL	1554	7	0.105577824580474	0.00998078339170483	0.0257651825888143	3712	0	0.229269919939001	4811	7	824	214	0.0628479902372054	Generic Transcription Pathway	RUNX1;RUNX2;LEF1;RUNX1;RUNX2	CS-DS extension	COAD_READ.
TOTAL	7	1	0.000475575786398533	0.0113516124739965	0.0257651825888143	74	0	0.00381242851696531	80	1	4	4	0.00030508733124857	RUNX1 regulates transcription of genes involved in BCR signaling	RUNX1	CS-DS extension	COAD_READ.
TOTAL	7	1	0.000475575786398533	0.0113516124739965	0.0257651825888143	5	0	0.000571864277544796	12	1	5	5	0.000381359164060712	RUNX1 regulates transcription of genes involved in interleukin signaling	RUNX1	CS-DS extension	COAD_READ.
TOTAL	8	1	0.000543515184455466	0.0129631556567782	0.0257651825888143	50	0	0.00276401067479985	58	1	6	6	0.000457630996872855	RUNX1 regulates expression of components of tight junctions	RUNX1	CS-DS extension	COAD_READ.
TOTAL	9	1	0.000611454582512399	0.0145721812314525	0.0257651825888143	63	0	0.00338353030880671	71	1	4	4	0.00030508733124857	RUNX1 regulates transcription of genes involved in WNT signaling	RUNX1	CS-DS extension	COAD_READ.
TOTAL	1693	7	0.115021400910388	0.0156458637137488	0.0257651825888143	3857	0	0.239801753717118	5032	7	885	214	0.0675005720387461	RNA Polymerase II Transcription	RUNX1;RUNX2;LEF1;RUNX1;RUNX2	CS-DS extension	COAD_READ.
TOTAL	10	1	0.000679393980569332	0.0161786929603649	0.0257651825888143	141	0	0.00700533739992375	147	1	5	5	0.000381359164060712	RUNX3 regulates WNT signaling	LEF1	CS-DS extension	COAD_READ.
TOTAL	10	1	0.000679393980569332	0.0161786929603649	0.0257651825888143	157	0	0.00791078917270301	166	1	4	4	0.00030508733124857	Binding of TCF/LEF:CTNNB1 to target gene promoters	LEF1	CS-DS extension	COAD_READ.
TOTAL	10	1	0.000679393980569332	0.0161786929603649	0.0257651825888143	95	0	0.00490850171559283	103	1	8	7	0.00061017466249714	RUNX1 regulates estrogen receptor mediated transcription	RUNX1	CS-DS extension	COAD_READ.
TOTAL	11	1	0.000747333378626265	0.0177826946004934	0.0257651825888143	22	0	0.00157262676324819	33	1	8	6	0.00061017466249714	RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	RUNX1	CS-DS extension	COAD_READ.
TOTAL	1851	7	0.125755825803383	0.0246112743669075	0.0257651825888143	4048	0	0.25324056423942	5314	7	996	214	0.0759667454808939	Gene expression (Transcription)	RUNX1;RUNX2;LEF1;RUNX1;RUNX2	CS-DS extension	COAD_READ.
TOTAL	16	1	0.00108703036891093	0.0257651825888143	0.0257651825888143	252	0	0.0127716355318338	268	1	7	4	0.000533902829684997	Repression of WNT target genes	LEF1	CS-DS extension	COAD_READ.
TOTAL	16	1	0.00108703036891093	0.0257651825888143	0.0257651825888143	98	0	0.00533739992375143	112	1	8	2	0.00061017466249714	RUNX3 regulates p14-ARF	RUNX1	CS-DS extension	COAD_READ.
TOTAL	17	1	0.00115496976696786	0.0273542022931279	0.0273542022931279	38	0	0.00252573389248952	53	1	20	20	0.00152543665624285	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	RUNX1	CS-DS extension	COAD_READ.
TOTAL	39	1	0.0026496365242204	0.0616907303869771	0.0616907303869771	59	0	0.00447960350743424	94	1	5	5	0.000381359164060712	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	RUNX1	CS-DS extension	COAD_READ.
TOTAL	39	1	0.0026496365242204	0.0616907303869771	0.0616907303869771	11	0	0.00238276782310332	50	1	9	1	0.000686446495309282	Organic cation transport	RUNX1	CS-DS extension	COAD_READ.
TOTAL	44	1	0.00298933351450506	0.069330865335112	0.069330865335112	445	0	0.0223980175371712	470	1	14	3	0.00106780565936999	Deactivation of the beta-catenin transactivating complex	LEF1	CS-DS extension	COAD_READ.
TOTAL	48	1	0.00326109110673279	0.0754000127988784	0.0754000127988784	394	0	0.0206347693480747	433	1	13	2	0.000991533826557852	Transcriptional Regulation by VENTX	LEF1	CS-DS extension	COAD_READ.
TOTAL	51	1	0.00346490930090359	0.0799269629873438	0.0799269629873438	12	0	0.00300228745711018	63	1	12	1	0.00091526199374571	Organic cation/anion/zwitterion transport	RUNX1	CS-DS extension	COAD_READ.
TOTAL	46	4	0.00312521231061893	6.46789713276696e-06	0.00093784508425121	323	0	0.0166317194052612	349	4	33	10	0.0025169704828007	Transcriptional Regulation by E2F6	E2F1;BRCA1;BRCA1;E2F1	GPI anchor extension	COAD_READ.
TOTAL	20	2	0.00135878796113866	0.00125637047336313	0.0461680658913473	70	0	0.00390773922988944	82	2	8	3	0.00061017466249714	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	E2F1;E2F1	GPI anchor extension	COAD_READ.
TOTAL	20	2	0.00135878796113866	0.00125637047336313	0.0461680658913473	94	0	0.00505146778497903	106	2	17	2	0.00129662115780642	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	E2F1;E2F1	GPI anchor extension	COAD_READ.
TOTAL	486	6	0.0330185474556695	0.00144075238417918	0.0461680658913473	1484	0	0.0880194433854365	1847	6	259	7	0.0197544046983449	Transcriptional Regulation by TP53	E2F1;BRCA1;BRCA1;MBD3;E2F1	GPI anchor extension	COAD_READ.
TOTAL	89	3	0.00604660642706706	0.00159200227211542	0.0461680658913473	119	0	0.00953107129241327	200	3	17	3	0.00129662115780642	TP53 Regulates Transcription of DNA Repair Genes	BRCA1;BRCA1	GPI anchor extension	COAD_READ.
TOTAL	25	2	0.00169848495142333	0.0019471945268128	0.0467326686435072	103	0	0.00595691955775829	125	2	12	5	0.00091526199374571	Transcription of E2F targets under negative control by DREAM complex	E2F1;E2F1	GPI anchor extension	COAD_READ.
TOTAL	38	2	0.00258169712616346	0.00440489515960896	0.0880979031921791	284	0	0.014344262295082	301	2	27	7	0.00205933948592785	G0 and Early G1	E2F1;E2F1	GPI anchor extension	COAD_READ.
TOTAL	27	2	0.0018343637475372	0.000396935177573887	0.0130988608599383	176	0	0.00957872664887533	201	2	22	2	0.00167798032186713	FOXO-mediated transcription of cell cycle genes	KLF4;KLF4	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	3	1	0.0002038181941708	0.003256110822353	0.052097773157648	0	0	0.000142966069386199	3	1	1	1	7.62718328121425e-05	TCF7L2 mutants don't bind CTBP	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	110	2	0.00747333378626265	0.00625123914160519	0.0545299650808062	494	0	0.0277830728173847	583	2	85	2	0.00648310578903211	FOXO-mediated transcription	KLF4;KLF4	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	10	1	0.000679393980569332	0.0108150897718499	0.0545299650808062	141	0	0.00700533739992375	147	1	5	5	0.000381359164060712	RUNX3 regulates WNT signaling	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	10	1	0.000679393980569332	0.0108150897718499	0.0545299650808062	157	0	0.00791078917270301	166	1	4	4	0.00030508733124857	Binding of TCF/LEF:CTNNB1 to target gene promoters	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	147	2	0.00998709151436918	0.0109059930161612	0.0545299650808062	442	0	0.0273541746092261	574	2	63	2	0.00480512546716498	Peptide hormone metabolism	KLF4;TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	16	1	0.00108703036891093	0.0172514064702097	0.0690056258808389	252	0	0.0127716355318338	268	1	7	5	0.000533902829684997	Repression of WNT target genes	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	26	1	0.00176642434948026	0.0278914278980171	0.0703966607012583	18	0	0.00204918032786885	43	1	8	1	0.00061017466249714	Synthesis, secretion, and deacylation of Ghrelin	KLF4	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	39	1	0.0026496365242204	0.0415620435073376	0.0703966607012583	59	0	0.00447960350743424	94	1	5	1	0.000381359164060712	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	RYBP	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	39	1	0.0026496365242204	0.0415620435073376	0.0703966607012583	135	0	0.00786313381624095	165	1	16	1	0.00122034932499428	Signaling by WNT in cancer	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	43	1	0.00292139411644813	0.0457319913403241	0.0703966607012583	111	0	0.00724361418223408	152	1	7	1	0.000533902829684997	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	44	1	0.00298933351450506	0.046771817446695	0.0703966607012583	445	0	0.0223980175371712	470	1	14	3	0.00106780565936999	Deactivation of the beta-catenin transactivating complex	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	45	1	0.00305727291256199	0.0478105812414595	0.0703966607012583	227	0	0.0127716355318338	268	1	35	2	0.00266951414842499	Transcriptional regulation of pluripotent stem cells	KLF4	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	46	1	0.00312521231061893	0.0488482837376178	0.0703966607012583	323	0	0.0166317194052612	349	1	33	1	0.0025169704828007	Transcriptional Regulation by E2F6	RYBP	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	47	1	0.00319315170867586	0.049884925947273	0.0703966607012583	122	0	0.00795844452916508	167	1	14	1	0.00106780565936999	Incretin synthesis, secretion, and inactivation	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	48	1	0.00326109110673279	0.0509205088816318	0.0703966607012583	394	0	0.0206347693480747	433	1	13	2	0.000991533826557852	Transcriptional Regulation by VENTX	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	67	1	0.00455193966981453	0.0703966607012583	0.0703966607012583	590	0	0.0302134959969501	634	1	13	13	0.000991533826557852	Formation of the beta-catenin:TCF transactivating complex	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	1554	4	0.105577824580474	0.0804051209399074	0.0804051209399074	3712	0	0.229269919939001	4811	4	824	11	0.0628479902372054	Generic Transcription Pathway	RYBP;KLF4;TCF7L2;KLF4	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	81	1	0.00550309124261159	0.0845070581436865	0.0845070581436865	146	0	0.0106271444910408	223	1	27	3	0.00205933948592785	Ca2+ pathway	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	91	1	0.00618248522318092	0.0944627045070227	0.0944627045070227	574	0	0.0309759817003431	650	1	23	5	0.00175425215467928	Degradation of beta-catenin by the destruction complex	TCF7L2	Type 1 and 2 LacNAc	COAD_READ.
TOTAL	17	2	0.00115496976696786	8.73657784267179e-05	0.00262097335280154	38	0	0.00252573389248952	53	2	20	13	0.00152543665624285	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	FOXP3;FOXP3	sialylation	COAD_READ.
TOTAL	9	1	0.000611454582512399	0.00731282935229416	0.05155805372108	63	0	0.00338353030880671	71	1	4	2	0.00030508733124857	RUNX1 regulates transcription of genes involved in WNT signaling	FOXP3	sialylation	COAD_READ.
TOTAL	191	2	0.0129764250288742	0.0101931140046843	0.05155805372108	200	0	0.0181090354555852	380	2	22	2	0.00167798032186713	Interferon alpha/beta signaling	IRF4;IRF4	sialylation	COAD_READ.
TOTAL	216	2	0.0146749099802976	0.0128895302847057	0.05155805372108	143	0	0.016536408692337	347	2	47	1	0.0035847761421707	Interleukin-4 and Interleukin-13 signaling	IRF4;IRF4	sialylation	COAD_READ.
TOTAL	255	2	0.017324546504518	0.0176502807317691	0.05155805372108	172	0	0.0197769729317575	415	2	16	2	0.00122034932499428	Interferon gamma signaling	IRF4;IRF4	sialylation	COAD_READ.
TOTAL	261	2	0.0177321828928596	0.0184405685240866	0.05155805372108	830	0	0.0498951582157835	1047	2	132	15	0.0100678819312028	Transcriptional regulation by RUNX1	FOXP3;FOXP3	sialylation	COAD_READ.
TOTAL	23	1	0.00156260615530946	0.0185909556165316	0.05155805372108	60	0	0.00390773922988944	82	1	6	1	0.000457630996872855	RHO GTPases activate CIT	MYH11	sialylation	COAD_READ.
TOTAL	26	1	0.00176642434948026	0.0209923631319625	0.05155805372108	38	0	0.00300228745711018	63	1	7	2	0.000533902829684997	RHO GTPases Activate ROCKs	MYH11	sialylation	COAD_READ.
TOTAL	26	1	0.00176642434948026	0.0209923631319625	0.05155805372108	33	0	0.00271635531833778	57	1	7	1	0.000533902829684997	Sema4D induced cell migration and growth-cone collapse	MYH11	sialylation	COAD_READ.
TOTAL	27	1	0.0018343637475372	0.0217916345538186	0.05155805372108	71	0	0.00443194815097217	93	1	15	3	0.00114407749218214	RHO GTPases activate PAKs	MYH11	sialylation	COAD_READ.
TOTAL	32	1	0.00217406073782186	0.02577902686054	0.05155805372108	33	0	0.00300228745711018	63	1	13	1	0.000991533826557852	Sema4D in semaphorin signaling	MYH11	sialylation	COAD_READ.
TOTAL	33	1	0.0022420001358788	0.0265747152071149	0.0531494304142297	34	0	0.00309759817003431	65	1	4	1	0.00030508733124857	EPHA-mediated growth cone collapse	MYH11	sialylation	COAD_READ.
TOTAL	401	2	0.0272436986208302	0.0408616737047812	0.0633070191230177	602	0	0.0458921082729699	963	2	69	4	0.00526275646403783	Interferon Signaling	IRF4;IRF4	sialylation	COAD_READ.
TOTAL	55	1	0.00373666689313133	0.0439298481976346	0.0633070191230177	94	0	0.00700533739992375	147	1	11	4	0.000838990160933567	Smooth Muscle Contraction	MYH11	sialylation	COAD_READ.
TOTAL	72	1	0.00489163666009919	0.0571458539797483	0.0633070191230177	146	0	0.00972169271826153	204	1	41	1	0.00312714514529784	Semaphorin interactions	MYH11	sialylation	COAD_READ.
TOTAL	80	1	0.00543515184455466	0.0633070191230177	0.0633070191230177	198	0	0.0130099123141441	273	1	20	1	0.00152543665624285	RHO GTPases activate PKNs	MYH11	sialylation	COAD_READ.
TOTAL	101	1	0.00686187920375025	0.0793049102076699	0.0793049102076699	670	0	0.0356462066336256	748	1	56	1	0.00427122263747998	EPH-Ephrin signaling	MYH11	sialylation	COAD_READ.
TOTAL	647	2	0.0439567905428358	0.0952105812464368	0.0952105812464368	1886	0	0.111275257338925	2335	2	493	1	0.0376020135763862	Signaling by Interleukins	IRF4;IRF4	sialylation	COAD_READ.
TOTAL	4	2	0.000271757592227733	1.25898922067602e-05	0.000226618059721684	0	0	0.000190621425848265	4	2	2	2	0.000152543665624285	RUNX3 regulates RUNX1-mediated transcription	RUNX1	sulfotransferases	COAD_READ.
TOTAL	147	4	0.00998709151436918	3.41984918496019e-05	0.000423143672193094	485	0	0.0289268013724743	607	4	84	81	0.00640683395621997	Transcriptional regulation by RUNX2	RUNX1;RUNX2;RUNX2	sulfotransferases	COAD_READ.
TOTAL	7	2	0.000475575786398533	3.84676065630085e-05	0.000423143672193094	36	0	0.00200152497140679	42	2	4	4	0.00030508733124857	RUNX2 regulates chondrocyte maturation	RUNX2	sulfotransferases	COAD_READ.
TOTAL	14	2	0.000951151572797065	0.000153043711209166	0.00129905060850266	5	0	0.00090545177277926	19	2	7	7	0.000533902829684997	RUNX2 regulates genes involved in cell migration	RUNX2	sulfotransferases	COAD_READ.
TOTAL	83	3	0.00563897003872546	0.000162381326062833	0.00129905060850266	156	0	0.0112466641250477	236	3	32	32	0.00244069864998856	Regulation of RUNX2 expression and activity	RUNX2;RUNX2	sulfotransferases	COAD_READ.
TOTAL	18	2	0.0012229091650248	0.000252213198832951	0.00176549239183066	138	0	0.00710064811284788	149	2	9	1	0.000686446495309282	YAP1- and WWTR1 (TAZ)-stimulated gene expression	RUNX2	sulfotransferases	COAD_READ.
TOTAL	261	4	0.0177321828928596	0.000309569134608223	0.00185741480764934	830	0	0.0498951582157835	1047	4	132	123	0.0100678819312028	Transcriptional regulation by RUNX1	RUNX1;RUNX2;RUNX1	sulfotransferases	COAD_READ.
TOTAL	118	3	0.00801684897071812	0.000453478410324171	0.00226739205162085	378	0	0.0223980175371712	470	3	47	4	0.0035847761421707	Transcriptional regulation by RUNX3	RUNX1;RUNX1	sulfotransferases	COAD_READ.
